Dátum;ATS;AUD;BEF;CAD;CHF;DEM;DKK;ESP;FIM;FRF;GBP;GRD;IEP;ITL;JPY;LUF;NLG;NOK;PTE;SEK;USD;XDR;XEU;XCU
4.1.1993;2,549;19,894;87,12;22,793;19,85;17,878;4,623;25,239;5,521;5,25;43,745;13,472;47,021;19,587;23,188;87,12;15,916;4,176;19,707;4,093;28,911;39,867;34,916;34,484
5.1.1993;2,534;19,964;86,512;22,823;19,73;17,781;4,586;25,032;5,436;5,206;43,713;13,364;46,737;19,382;23,271;86,512;15,817;4,161;19,677;4,074;29,073;40,09;34,701;34,358
6.1.1993;2,528;19,752;86,437;22,693;19,678;17,773;4,585;24,946;5,388;5,213;43,889;13,331;46,755;18,893;23,222;86,437;15,823;4,153;19,701;4,006;29,095;40,12;34,716;34,358
7.1.1993;2,539;19,439;86,557;22,742;19,624;17,802;4,601;25,071;5,401;5,227;44,728;13,422;46,831;18,983;23,247;86,557;15,852;4,172;19,778;4,01;29,044;40,051;34,841;34,358
8.1.1993;2,526;19,533;86,404;22,771;19,492;17,793;4,594;25,008;5,377;5,223;44,802;13,324;46,684;18,928;23,261;86,404;15,82;4,153;19,76;4,003;29,092;40,117;34,838;34,419
11.1.1993;2,519;19,572;86,222;22,734;19,422;17,73;4,579;24,984;5,314;5,212;44,523;13,26;46,587;19,176;23,274;86,222;15,781;4,125;19,724;3,92;29,186;40,044;34,746;35,15
12.1.1993;2,53;19,547;86,493;22,791;19,496;17,787;4,599;25,05;5,344;5,236;45,01;13,309;47,035;19,429;23,229;86,493;15,829;4,164;19,84;3,955;29,088;39,909;34,934;35,046
13.1.1993;2,533;19,549;86,602;22,753;19,521;17,824;4,614;25,11;5,345;5,249;45,092;13,335;47,025;19,685;23,184;86,602;15,855;4,165;19,903;3,907;29,035;39,837;35,069;35,217
14.1.1993;2,529;19,597;86,444;22,731;19,386;17,795;4,604;25,061;5,334;5,245;44,834;13,32;47,074;19,2;23,088;86,444;15,824;4,165;19,873;3,878;29,088;39,91;34,941;35,267
15.1.1993;2,538;19,461;86,732;22,67;19,536;17,857;4,623;25,162;5,339;5,267;44,646;13,348;47,139;19,324;23,032;86,732;15,883;4,204;19,943;4,01;28,982;39,764;35,016;35,79
18.1.1993;2,536;19,517;86,697;22,623;19,516;17,852;4,614;25,14;5,371;5,273;44,56;13,348;47,007;19,329;23,027;86,697;15,881;4,21;19,804;4,018;28,992;39,777;35,007;35,754
19.1.1993;2,535;19,611;86,592;22,65;19,512;17,833;4,631;25,16;5,354;5,274;44,784;13,352;47,302;19,499;23,101;86,592;15,863;4,231;19,827;3,994;29,014;39,808;35,078;35,757
20.1.1993;2,545;19,433;86,952;22,634;19,513;17,904;4,649;25,252;5,335;5,29;44,674;13,398;47,467;19,437;23,042;86,952;15,927;4,233;19,854;3,993;28,913;39,67;35,155;35,703
21.1.1993;2,55;19,366;87,155;22,57;19,666;17,942;4,671;25,363;5,321;5,308;44,725;13,429;47,643;19,639;23,085;87,155;15,957;4,244;19,96;4,022;28,84;39,569;35,28;35,57
22.1.1993;2,546;19,235;86,993;22,553;19,534;17,917;4,668;25,314;5,272;5,304;44,289;13,404;47,516;19,607;23,094;86,993;15,937;4,238;19,919;4,012;28,89;39,638;35,174;36,036
