Dátum;ATS;AUD;BEF;CAD;CHF;DEM;DKK;ESP;FIM;FRF;GBP;GRD;IEP;ITL;JPY;LUF;NLG;NOK;PTE;SEK;USD;XCU;XDR;XEU
3.1.1994;2,728;22,581;92,278;25,048;22,526;19,196;4,919;23,361;5,765;5,651;49,277;13,371;46,982;19,439;29,819;92,278;17,156;4,434;18,853;4;33,266;39,034;46,88;37,175
4.1.1994;2,732;22,57;92,127;25,123;22,547;19,206;4,917;23,337;5,743;5,642;49,354;13,372;46,985;19,484;29,784;92,127;17,163;4,433;18,864;3,982;33,313;39,037;46,946;37,178
5.1.1994;2,73;22,939;92,027;25,405;22,434;19,192;4,917;23,284;5,763;5,644;49,467;13,363;47,082;19,595;29,518;92,027;17,166;4,435;18,873;3,995;33,415;39,093;47,089;37,231
7.1.1994;2,732;22,913;92,347;25,324;22,505;19,203;4,926;23,12;5,792;5,65;49,495;13,355;47,423;19,669;29,501;92,347;17,161;4,443;18,891;4,046;33,319;39,124;46,954;37,261
10.1.1994;2,731;22,842;92,508;25,303;22,564;19,195;4,934;22,936;5,786;5,64;49,575;13,347;47,285;19,681;29,743;92,508;17,161;4,452;18,857;4,071;33,395;39,09;47,061;37,229
11.1.1994;2,74;22,818;92,335;25,292;22,69;19,248;4,949;23,079;5,803;5,652;49,711;13,389;47,886;19,592;29,778;92,335;17,21;4,456;18,877;4,092;33,291;39,137;46,915;37,273
12.1.1994;2,73;23,04;92,037;25,344;22,661;19,189;4,95;23,011;5,798;5,644;49,773;13,338;48,04;19,567;29,66;92,037;17,136;4,443;18,844;4,073;33,391;39,033;47,055;37,174
13.1.1994;2,728;22,975;92,153;25,26;22,656;19,172;4,944;23,104;5,811;5,645;49,925;13,338;47,874;19,603;29,618;92,153;17,128;4,441;18,886;4,067;33,35;39,044;46,998;37,185
14.1.1994;2,731;23,063;91,919;25,256;22,855;19,195;4,957;23,229;5,844;5,649;50,096;13,362;48,185;19,735;29,656;91,919;17,142;4,445;19,061;4,082;33,358;39,117;47,008;37,254
17.1.1994;2,723;23,059;91,692;25,4;22,62;19,138;4,938;23,196;5,873;5,635;49,951;13,324;47,952;19,613;30,065;91,692;17,09;4,436;18,983;4,092;33,477;38,964;47,176;37,109
18.1.1994;2,716;23,239;91,63;25,343;22,641;19,089;4,931;23,241;5,879;5,627;49,995;13,283;47,802;19,629;30,046;91,63;17,054;4,434;18,97;4,09;33,486;38,919;47,19;37,066
19.1.1994;2,717;23,383;91,874;25,482;22,724;19,097;4,933;23,411;5,887;5,632;50,106;13,323;47,863;19,664;30,25;91,874;17,066;4,449;19,01;4,125;33,529;38,97;46,016;37,114
20.1.1994;2,725;23,344;91,961;25,465;22,907;19,154;4,932;23,496;5,884;5,634;49,86;13,378;47,718;19,656;30,218;91,961;17,106;4,452;19,011;4,127;33,421;39,022;45,904;37,164
21.1.1994;2,723;23,581;91,86;25,559;22,819;19,137;4,928;23,397;5,89;5,633;49,878;13,377;47,844;19,632;30,001;91,86;17,085;4,449;18,956;4,116;33,457;38,988;46,01;37,131
24.1.1994;2,728;23,38;91,901;25,385;22,856;19,178;4,929;23,375;5,91;5,634;49,902;13,386;47,829;19,64;30,179;91,901;17,107;4,449;18,955;4,146;33,323;39,014;45,826;37,156
25.1.1994;2,713;23,507;91,573;25,501;22,761;19,068;4,91;23,341;5,877;5,614;49,88;13,296;47,659;19,574;29,862;91,573;17,017;4,435;18,937;4,138;33,443;38,883;46,119;37,031
26.1.1994;2,717;23,727;92,102;25,527;22,727;19,096;4,924;23,481;5,947;5,632;49,997;13,313;47,906;19,645;30,097;92,102;17,048;4,447;19,004;4,163;33,465;39,014;45,846;37,156
27.1.1994;2,722;23,705;92,524;25,461;22,724;19,13;4,926;23,716;5,966;5,635;49,989;13,324;48,104;19,685;30,208;92,524;17,082;4,454;19,103;4,2;33,41;39,087;45,833;37,226
28.1.1994;2,721;23,699;92,383;25,422;22,697;19,12;4,921;23,612;5,946;5,629;49,849;13,316;47,994;19,617;30,453;92,383;17,068;4,446;19,033;4,183;33,364;39,03;45,885;37,171
31.1.1994;2,731;23,54;92,875;25,229;22,703;19,198;4,942;23,73;5,962;5,648;49,924;13,359;48,006;19,633;30,485;92,875;17,132;4,463;19,08;4,191;33,305;39,142;45,9;37,278
1.2.1994;2,728;23,694;92,918;25,259;22,784;19,181;4,941;23,73;5,99;5,648;50,032;13,351;47,968;19,653;30,599;92,918;17,12;4,462;19,058;4,206;33,39;39,126;46,148;37,263
2.2.1994;2,732;23,853;93,328;25,09;22,898;19,21;4,951;23,788;6,04;5,658;50,128;13,369;48,142;19,726;30,799;93,328;17,146;4,474;19,109;4,215;33,328;39,225;46,014;37,357
3.2.1994;2,736;23,769;93,002;24,998;22,971;19,23;4,954;23,665;6,046;5,663;49,845;13,367;48,017;19,724;30,8;93,002;17,159;4,473;19,102;4,22;33,285;39,213;46,111;37,346
4.2.1994;2,73;23,819;92,82;25,156;22,904;19,187;4,942;23,539;6,015;5,648;49,831;13,335;47,874;19,702;30,786;92,82;17,121;4,463;18,998;4,213;33,332;39,149;46,203;37,285
7.2.1994;2,726;23,832;92,885;25,127;22,962;19,161;4,935;23,644;6,03;5,649;49,746;13,319;47,818;19,733;30,787;92,885;17,1;4,46;19,044;4,234;33,364;39,121;46,173;37,258
