Dátum;ATS;AUD;BEF;CAD;CHF;CZK;DEM;DKK;ESP;FIM;FRF;GBP;GRD;IEP;ITL;JPY;LUF;NLG;NOK;PTE;SEK;SIT;USD;XDR;XEU
2.1.1998;2,764;22,746;94,277;24,291;23,947;1,011;19,447;5,105;22,945;6,42;5,806;57,651;12,32;49,774;19,797;26,758;94,277;17,253;4,737;19,01;4,402;20,574;34,807;46,98;38,444
5.1.1998;2,744;22,644;93,614;24,414;23,774;0,997;19,309;5,071;22,801;6,38;5,771;57,076;12,216;49,5;19,647;26,465;93,614;17,134;4,704;18,884;4,378;20,579;34,815;46,754;38,161
7.1.1998;2,727;22,416;93,032;24,398;23,628;0,982;19,19;5,039;22,658;6,34;5,733;56,952;12,14;48,998;19,522;26,133;93,032;17,025;4,704;18,754;4,348;20,558;34,78;46,558;37,91
8.1.1998;2,733;22,375;93,235;24,507;23,785;0,977;19,224;5,048;22,69;6,35;5,743;57,06;12,146;47,905;19,563;26,504;93,235;17,058;4,681;18,807;4,355;20,385;35,131;46,886;38,047
9.1.1998;2,736;22,448;93,366;24,618;23,841;0,978;19,249;5,055;22,726;6,358;5,75;57,219;12,187;48,095;19,597;26,458;93,366;17,087;4,683;18,832;4,364;20,448;35,268;46,986;38,093
12.1.1998;2,748;22,564;93,76;24,56;23,835;0,981;19,331;5,076;22,808;6,385;5,775;56,877;12,239;48,121;19,669;26,753;93,76;17,154;4,708;18,906;4,387;20,328;35,038;46,954;38,195
13.1.1998;2,746;22,427;93,657;24,465;23,831;0,979;19,315;5,073;22,794;6,382;5,77;56,557;12,229;48,179;19,653;26,535;93,657;17,146;4,676;18,892;4,379;20,435;35,037;46,849;38,145
14.1.1998;2,745;22,511;93,651;24,48;23,785;0,981;19,313;5,071;22,787;6,382;5,764;57,437;12,244;48,095;19,647;26,644;93,651;17,14;4,677;18,889;4,379;20,493;35,119;47,014;38,192
15.1.1998;2,733;22,827;93,271;24,513;23,65;0,984;19,228;5,05;22,694;6,353;5,741;57,261;12,205;48,263;19,557;26,815;93,271;17,073;4,652;18,81;4,37;20,426;35,08;46,964;38,037
16.1.1998;2,739;22,835;93,436;24,466;23,706;0,985;19,269;5,058;22,736;6,365;5,754;57,367;12,219;48,173;19,585;26,858;93,436;17,102;4,663;18,852;4,378;20,37;35,104;47,028;38,084
19.1.1998;2,738;23,22;93,365;24,552;23,558;0,995;19,257;5,057;22,728;6,362;5,748;57,403;12,215;48,481;19,56;27,378;93,365;17,093;4,667;18,843;4,388;20,453;35,208;47,223;38,074
20.1.1998;2,734;23,556;93,252;24,684;23,567;0,995;19,232;5,049;22,702;6,369;5,739;57,935;12,236;48,635;19,539;27,396;93,252;17,068;4,675;18,813;4,392;20,517;35,417;47,387;38,056
21.1.1998;2,743;23,572;93,612;24,667;23,676;0,996;19,298;5,067;22,783;6,386;5,767;58,136;12,263;48,631;19,627;27,515;93,612;17,124;4,684;18,876;4,39;20,419;35,505;47,544;38,203
22.1.1998;2,767;23,596;94,255;24,723;23,872;0,999;19,459;5,108;22,973;6,433;5,812;57,826;12,352;48,906;19,797;27,823;94,255;17,267;4,719;19,027;4,427;20,549;35,638;47,791;38,436
23.1.1998;2,782;23,315;94,862;24,463;24,052;1,004;19,574;5,137;23,086;6,464;5,843;58,042;12,385;49,099;19,864;27,869;94,862;17,371;4,741;19,133;4,435;20,464;35,374;47,752;38,593
26.1.1998;2,789;23,287;95,135;24,205;24,045;1,005;19,623;5,149;23,128;6,486;5,857;58,195;12,399;49,184;19,913;27,911;95,135;17,408;4,727;19,179;4,439;20,628;35,182;47,688;38,669
27.1.1998;2,793;23,419;95,243;24,023;24,171;1,007;19,649;5,157;23,162;6,496;5,866;58,263;12,383;49,368;19,892;27,69;95,243;17,434;4,72;19,198;4,436;20,839;34,84;47,493;38,707
28.1.1998;2,788;23,742;95,103;24,176;24,178;1,008;19,61;5,148;23,11;6,483;5,853;57,841;12,341;49,104;19,858;27,807;95,103;17,401;4,734;19,163;4,431;20,859;35,017;47,7;38,655
29.1.1998;2,769;23,824;94,433;24,066;24,019;1,01;19,477;5,112;22,971;6,439;5,811;57,424;12,282;48,772;19,743;28,023;94,433;17,277;4,701;19,025;4,39;20,815;35,113;47,495;38,386
30.1.1998;2,775;23,799;94,642;24,204;24,16;1,008;19,516;5,122;23,003;6,447;5,825;57,982;12,308;48,917;19,774;28,198;94,642;17,315;4,688;19,061;4,389;20,692;35,273;47,725;38,49
2.2.1998;2,762;23,828;94,147;24,251;24,091;1;19,425;5,098;22,894;6,418;5,797;58,002;12,26;48,666;19,691;27,936;94,147;17,233;4,68;18,975;4,388;20,781;35,484;47,713;38,348
3.2.1998;2,757;24,368;94;24,5;23,975;1,008;19,401;5,091;22,875;6,409;5,789;57,915;12,247;48,548;19,666;28,037;94;17,213;4,685;18,938;4,376;20,639;35,579;47,77;38,287
4.2.1998;2,765;24,165;94,279;24,273;23,999;1,015;19,454;5,105;22,958;6,424;5,803;57,91;12,284;48,881;19,709;28,052;94,279;17,261;4,696;19,013;4,389;20,432;35,298;47,645;38,372
5.2.1998;2,762;23,91;94,218;24,452;24,123;1,011;19,432;5,1;22,935;6,418;5,797;58,146;12,284;48,944;19,693;28,183;94,218;17,244;4,681;18,994;4,379;20,586;35,313;47,7;38,353
6.2.1998;2,785;24,082;94,898;24,388;24,281;1,023;19,595;5,142;23,102;6,471;5,848;58,408;12,379;49,413;19,853;28,663;94,898;17,379;4,705;19,145;4,387;20,535;35,207;47,909;38,629
9.2.1998;2,795;23,861;95,333;24,637;24,368;1,03;19,659;5,159;23,179;6,487;5,866;58,06;12,425;49,341;19,901;28,393;95,333;17,447;4,72;19,204;4,399;20,807;35,256;47,871;38,729
10.2.1998;2,779;23,741;94,754;24,718;24,25;1,022;19,554;5,131;23,069;6,452;5,834;57,954;12,36;49,109;19,795;28,434;94,754;17,346;4,696;19,1;4,373;20,877;35,381;47,872;38,541
11.2.1998;2,769;24,056;94,402;24,649;24,133;1,026;19,48;5,111;22,979;6,424;5,816;57,323;12,303;48,842;19,723;28,605;94,402;17,284;4,677;19,027;4,339;20,643;35,278;47,744;38,386
12.2.1998;2,769;24,063;94,428;24,674;24,128;1,03;19,486;5,112;22,984;6,422;5,811;57,436;12,317;48,863;19,732;28,493;94,428;17,286;4,68;19,029;4,354;20,691;35,382;47,784;38,443
13.2.1998;2,773;24,011;94,554;24,668;24,265;1,031;19,513;5,119;23,018;6,433;5,819;57,966;12,345;48,997;19,76;28,81;94,554;17,312;4,696;19,059;4,368;20,603;35,436;47,976;38,544
16.2.1998;2,765;23,912;94,3;24,647;24,199;1,023;19,463;5,107;22,955;6,416;5,806;57,99;12,326;48,741;19,713;28,377;94,3;17,266;4,679;19,017;4,369;20,673;35,42;47,82;38,463
17.2.1998;2,768;23,579;94,417;24,569;24,248;1,016;19,478;5,111;22,982;6,422;5,81;58,12;12,344;48,602;19,736;28,118;94,417;17,283;4,683;19,025;4,374;20,632;35,463;47,797;38,495
18.2.1998;2,763;23,564;94,152;24,446;24,14;1,019;19,434;5,099;22,939;6,41;5,798;57,911;12,322;48,339;19,703;28,07;94,152;17,241;4,661;18,979;4,36;20,54;35,307;47,642;38,425
19.2.1998;2,758;23,722;93,991;24,58;24,039;1,023;19,402;5,091;22,897;6,401;5,789;58,002;12,313;48,092;19,676;27,999;93,991;17,214;4,656;18,966;4,361;20,614;35,38;47,653;38,37
20.2.1998;2,763;23,738;94,229;24,674;24,07;1,025;19,438;5,097;22,939;6,409;5,796;57,882;12,315;48,344;19,722;27,992;94,229;17,251;4,66;18,985;4,37;20,48;35,298;47,613;38,429
23.2.1998;2,762;23,839;94,19;24,838;24,091;1,028;19,432;5,098;22,937;6,41;5,796;57,848;12,302;48,335;19,715;27,833;94,19;17,245;4,668;18,987;4,383;20,573;35,312;47,572;38,416
24.2.1998;2,763;23,56;94,239;24,874;24,037;1,033;19,449;5,102;22,952;6,408;5,799;57,845;12,306;48,347;19,723;27,468;94,239;17,25;4,648;18,998;4,378;20,573;35,349;47,503;38,442
25.2.1998;2,77;23,405;94,432;24,657;24,123;1,034;19,49;5,111;22,995;6,419;5,816;57,809;12,327;48,406;19,763;27,43;94,432;17,292;4,657;19,04;4,374;20,487;35,138;47,411;38,511
26.2.1998;2,762;23,381;94,139;24,61;24,006;1,036;19,431;5,097;22,923;6,403;5,794;57,71;12,29;48,42;19,688;27,517;94,139;17,238;4,653;18,978;4,376;20,587;35,001;47,288;38,414
27.2.1998;2,745;23,61;93,622;24,754;23,886;1,03;19,314;5,067;22,791;6,365;5,76;57,598;12,199;47,934;19,584;27,431;93,622;17,137;4,622;18,865;4,358;20,642;35,155;47,263;38,178
2.3.1998;2,742;23,573;93,462;24,531;23,799;1,031;19,286;5,06;22,761;6,355;5,752;57,48;12,178;47,719;19,574;27,672;93,462;17,113;4,621;18,837;4,359;20,304;34,908;47,169;38,133
3.3.1998;2,736;23,725;93,256;24,316;23,807;1,026;19,255;5,051;22,716;6,339;5,743;57,503;12,153;47,656;19,535;27,764;93,256;17,082;4,615;18,801;4,363;20,31;34,747;47,075;38,069
4.3.1998;2,715;23,669;92,616;24,457;23,633;1,025;19,104;5,012;22,542;6,295;5,694;57,142;12,101;47,469;19,413;27,507;92,616;16,952;4,577;18,66;4,338;20,327;34,705;46,826;37,811
5.3.1998;2,721;23,45;92,833;24,462;23,53;1,021;19,145;5,023;22,587;6,312;5,708;57,322;12,133;47,511;19,447;27,544;92,833;16,987;4,61;18,712;4,361;20,262;34,766;46,921;37,895
6.3.1998;2,731;23,36;93,082;24,434;23,631;1,023;19,206;5,039;22,658;6,33;5,726;57,404;12,151;47,679;19,51;27,381;93,082;17,041;4,62;18,776;4,37;20,272;34,782;46,936;38,017
