Dátum;AUD;CAD;CHF;CYP;CZK;DKK;EEK;EUR;GBP;HUF;JPY;LTL;LVL;MTL;NOK;PLN;SEK;SIT;USD;XDR
2.1.2006;23,48;27,515;24,321;66,032;1,304;5,075;2,419;37,861;55,174;14,979;27,264;10,964;54,396;88,165;4,738;9,805;4,022;15,809;31,995;45,746
3.1.2006;23,479;27,559;24,377;66,044;1,304;5,076;2,42;37,866;55,167;14,985;27,136;10,966;54,418;88,254;4,746;9,793;4,031;15,809;32,006;45,734
4.1.2006;23,349;27,308;24,273;65,761;1,301;5,053;2,41;37,708;54,878;15;27,043;10,92;54,181;87,846;4,736;9,813;4,031;15,746;31,752;45,459
5.1.2006;23,178;27,023;24,271;65,642;1,298;5,046;2,406;37,652;54,707;14,998;26,847;10,903;54,087;87,704;4,746;9,821;4,026;15,72;31,161;45,006
9.1.2006;23,237;27,002;24,343;65,64;1,3;5,046;2,406;37,645;54,651;15,034;26,83;10,904;54,091;87,708;4,747;9,912;4,036;15,719;31,139;44,991
10.1.2006;23,248;26,427;24,226;65,172;1,297;5,011;2,389;37,402;54,682;14,97;27,116;10,826;53,714;87,065;4,71;9,94;4,002;15,605;30,975;44,81
11.1.2006;23,374;26,605;24,29;65,372;1,302;5,027;2,396;37,461;54,877;14,96;27,143;10,859;53,867;87,347;4,698;9,902;4,009;15,657;31,05;44,967
12.1.2006;23,29;26,579;24,178;65,242;1,303;5,017;2,391;37,379;54,343;14,973;27,055;10,836;53,737;87,149;4,658;9,914;4;15,622;30,918;44,781
13.1.2006;23,288;26,638;24,177;65,242;1,3;5,016;2,391;37,419;54,656;14,959;27,214;10,837;53,735;87,153;4,633;9,9;4,009;15,622;30,894;44,807
16.1.2006;23,396;26,858;24,222;65,423;1,301;5,031;2,398;37,526;55,046;14,979;27,166;10,866;53,909;87,4;4,662;9,839;4,031;15,67;31,173;45,05
17.1.2006;23,326;26,664;24,18;65,35;1,301;5,023;2,396;37,474;54,676;14,971;26,915;10,854;53,856;87,303;4,657;9,84;4,016;15,656;30,939;44,809
18.1.2006;23,376;26,8;24,218;65,41;1,301;5,028;2,397;37,537;54,728;14,999;26,943;10,864;53,896;87,393;4,628;9,783;4,02;15,664;31,081;44,912
19.1.2006;23,159;26,545;24,23;65,344;1,298;5,023;2,395;37,61;54,603;14,884;26,868;10,855;53,855;87,298;4,615;9,724;4,019;15,649;31,017;44,773
