country_name,country_id,year,elections_date,registered_voters,total_votes,method_amount_st,method_amount_el,dpf_statutory_nc,dpf_statutory_nc_2,exchange_rate_annual,dpf_statutory_usd,dpfrv_stat_usd,dpfv_stat_usd,access_statutory,distrib_statutory,distr_formula_st,dpf_elections_nc,dpf_elections_nc_2,exchange_rate_elections,dpf_elections_usd,dpfrv_elect_usd,dpfv_elect_usd,access_elections,distrib_elections,distrib_formula_el,timing,dpfrv_total,dpfv_total,v2elpubfin,subsidies_eip
Albania,ALB,1991,33328,1984933,1963568,,Ad-hoc decision,0,0,,0,0,0,,,,1000000,1000000,10,100000,0.05,0.050927699,0,1,100-rc,0,0.05,0.051,0.158,
Albania,ALB,1992,33685,2021169,1830000,Ad-hoc decision,Ad-hoc decision,,,75.03,,,,2,0.9,"10-m, 90-v",,,,,,,3,1,"50-rc, 50-v",0,,,0.101,
Albania,ALB,1993,,2021169,1830000,Ad-hoc decision,,30000000,30000000,102.06,293944.7384,0.145433033,0.16062554,2,0.9,"10-m, 90-v",,,,,,,,,,,0.145433033,0.16062554,0.101,
Albania,ALB,1994,,2021169,1830000,Ad-hoc decision,,,50000000,94.62,528429.5075,0.261447463,0.288759294,2,0.9,"10-m, 90-v",,,,,,,,,,,0.261447463,0.288759294,0.101,
Albania,ALB,1995,,2021169,1830000,Ad-hoc decision,,,70000000,92.7,755124.0561,0.373607579,0.412636096,2,0.6,"10-m, 30-s, 60-v",,,,,,,,,,,0.373607579,0.412636096,0.101,
Albania,ALB,1996,35211,2204002,1963344,Ad-hoc decision,Ad-hoc decision,,90000000,104.5,861244.0191,0.390763719,0.438661803,2,0.6,"10-m, 30-s, 60-v",,,,,,,3,1,"50-rc, 50-v",0,0.390763719,0.438661803,0.101,
Albania,ALB,1997,35610,1947235,1412929,Ad-hoc decision,Ad-hoc decision,,110000000,148.93,738602.0278,0.37930811,0.522745324,2,0.6,"10-m, 30-s, 60-v",,,,,,,3,1,"50-rc, 50-v",0,0.37930811,0.522745324,0.101,
Albania,ALB,1998,,1947235,1412929,Ad-hoc decision,,,130000000,150.63,863041.8907,0.44321404,0.610817593,2,0.6,"10-m, 30-s, 60-v",,,,,,,,,,,0.44321404,0.610817593,0.997,
Albania,ALB,1999,,1947235,1412929,Ad-hoc decision,,150000000,150000000,137.69,1089403.733,0.559461869,0.771025107,2,0.6,"10-m, 30-s, 60-v",,,,,,,,,,,0.559461869,0.771025107,0.997,
Albania,ALB,2000,,1947235,1412929,Ad-hoc decision,,157000000,157000000,143.71,1092477.907,0.561040607,0.773200852,2,0.8,"20-s, 70-s, 10-v",,,,,,,,,,,0.561040607,0.773200852,0.997,
Albania,ALB,2001,37066,2499238,1373210,Ad-hoc decision,Ad-hoc decision,,166333333.3,143.48,1159278.877,0.463852933,0.84421092,2.5,0.8,"20-s, 70-s, 10-v",,,,,,,2.5,0.6,"10-rc, 30-s, 60-v",0,0.463852933,0.84421092,0.997,
Albania,ALB,2002,,2499238,1373210,Ad-hoc decision,,,175666666.7,140.15,1253418.956,0.501520446,0.912765677,2.5,0.8,"20-s, 70-s, 10-v",,,,,,,,,,,0.501520446,0.912765677,0.997,
Albania,ALB,2003,,2499238,1373210,Ad-hoc decision,,185000000,185000000,121.86,1518095.1,0.607423183,1.105508334,2.5,0.8,"20-s, 70-s, 10-v",,,,,,,,,,,0.607,1.106,0.997,
Albania,ALB,2004,,2499238,1373210,Ad-hoc decision,,194000000,194000000,102.78,1887525.8,0.755,1.374535432,2.5,0.8,"20-s, 70-s, 10-v",,,,,,,,,,,0.755,1.375,0.997,
Albania,ALB,2005,38536,2499238,1389320,Ad-hoc decision,Ad-hoc decision,194000000,194000000,99.87,1942520.3,0.777,1.398180621,2.5,0.8,"20-s, 70-s, 10-v",60000000,60000000,99.87,600784,0.21,0.432430254,2.5,0.5,"10-rc, 40-s, 50-v",0,0.987,1.831,1.111,
Albania,ALB,2006,,2850821,1389320,Ad-hoc decision,,192000000,192000000,98.1,1957119.2,0.687,1.408688567,2.5,0.8,"20-s, 70-s, 10-v",,,,,,,,,,,0.687,1.409,1.111,
Albania,ALB,2007,,2850821,1389320,Ad-hoc decision,,192000000,192000000,90.43,2123238.7,0.745,1.528257493,2.5,0.8,"20-s, 70-s, 10-v",,,,,,,,,,,0.745,1.528,1.111,
Albania,ALB,2008,,2850821,1389320,Ad-hoc decision,,191034000,191034000,83.89,2277071.4,0.799,1.638982668,2.5,0.8,"20-s, 70-s, 10-v",,,,,,,,,,,0.799,1.639,1.111,
Albania,ALB,2009,39992,2850821,1566079,Ad-hoc decision,Ad-hoc decision,192000000,192000000,94.98,2021518.2,0.709,1.290814959,3,0.8,"20-s, 70-s, 10-v",64077264,64077264,94.84,675618.2,0.22,0.431407483,3,1,"50-s, 50-v",0,0.929,1.722,1.292,
Albania,ALB,2010,,3084946,1566079,Ad-hoc decision,,199000000,199000000,103.94,1914627.5,0.621,1.22256125,3,0.8,"20-s, 70-s, 10-v",,,,,,,,,,,0.621,1.223,1.292,
Albania,ALB,2011,,3084946,1566079,Ad-hoc decision,,200000000,200000000,100.9,1982242.4,0.643,1.265735892,3,0.8,"20-s, 70-s, 10-v",,,,,,,,,,,0.643,1.266,1.292,
Albania,ALB,2012,,3084946,1566079,Ad-hoc decision,,189000000,189000000,108.18,1747020.9,0.566,1.115538169,3,0.8,"20-s, 70-s, 10-v",,,,,,,,,,,0.566,1.116,1.292,
