country,n,slate,year,v_pct,wcn,wcd,pg_code,cmp_code
BG,3,BBB,1994,4.726,,0.591624533572445,599,80901
BG,3,BDPZESS,1994,0.04,,0.45034564581247,,
BG,3,BKP,1994,1.51,,0.445086178217672,,
BG,3,BLZZNPCG,1994,0.11,,0.83682873767762,,
BG,3,BNRP,1994,0.54,,0.574191706642308,,
BG,3,BNSND,1994,0.07,,0.862079053262694,,
BG,3,BOP-NS,1994,0.07,,0.777147910666406,,
BG,3,BP ONN-DNO,1994,0.0011,,1,,
BG,3,BRMP,1994,0.09,,0.25,,
BG,3,BRSDP,1994,0.07,,1,,
BG,3,BRSP,1994,0.07,,0.456846235362084,,
BG,3,BSP-BZNS-AS-PKE,1994,43.501,,0.59212118697285,1160,80228
BG,3,DAR,1994,3.79,,0.558023844044337,2170,
BG,3,DGI-SDS,1994,0.01,,1,,
BG,3,DN,1994,0.19,,0.823480795637627,,
BG,3,DPNS,1994,0.46,,0.794767506518749,,
BG,3,DPNT,1994,0.05,,1,,
BG,3,DPS,1994,5.442,,0.531407709713179,1286,80951
BG,3,DPVB,1994,0.12,,0.642349434503311,,
BG,3,DZZNPBSSG,1994,0.36,,0.746530303628607,,
BG,3,FNPSB,1994,0.07,,0.827158331899739,,
BG,3,FP,1994,0.14,,0.624837132180743,,
BG,3,HDS,1994,0.16,,0.806451612903226,,
BG,3,KFCB,1994,1.41,,0.813203012356176,,
BG,3,KKBZNS,1994,0.25,,0.863297238422334,,
BG,3,KOZS,1994,0.12,,0.809190011836874,,
BG,3,KPS,1994,1.43,,0.487365923148466,,
BG,3,NDZKDCB,1994,0.78,,0.824550105362281,,
BG,3,NI,1994,1.49,,0.789746062113488,,
BG,3,NLPSS,1994,0.06,,0.945864028354291,,
BG,3,NZNS-AS,1994,6.507,,0.611718804068071,353,80811
BG,3,ONSBSSGB,1994,0.25,,1,,
BG,3,PBO,1994,0.03,,1,,
BG,3,PE,1994,0.0027,,1,,
BG,3,PNDP,1994,0.27,,1,,
BG,3,PNSVB,1994,0.07,,1,,
BG,3,PPSNBO,1994,0.02,,0.820938200699512,,
BG,3,RPB,1994,0.04,,1,,
BG,3,SDP,1994,0.14,,1,,
BG,3,SDS,1994,24.228,,0.489790949713966,423,80410
BG,3,SKP,1994,0.08,,0.77658292123626,,
BG,3,SNBG,1994,0.03,,1,,
BG,3,SNDP-ERA3,1994,0.17,,0.730170103431818,,
BG,3,SNMSCB,1994,0.61,,0.764797343705591,,
BG,3,SNSD,1994,0.08,,0.9375,,
BG,3,SPRAVEDLIVOST,1994,0.1,,0.834447258551883,,
BG,4,BBB,1997,4.928,0.650940559996349,0.600277614510489,599,80901
BG,4,BDPZESS,1997,0.08,0.610088164528212,0.834391153232236,,
BG,4,BHK,1997,0.63,0.99218045563029,0.99986140990446,,
BG,4,BKP,1997,1.2,0.593538312763576,0.527843086241457,1570,
BG,4,BNDNVP,1997,0.06,1,0.995549527188133,,
BG,4,BNDP,1997,0.16,1,1,,
BG,4,BNEP-VT,1997,0.08,0.957921277364684,1,,
BG,4,BNRP,1997,0.17,0.428084819579444,0.578783681075246,,
BG,4,BOP-NS,1997,0.05,0.705882352941176,0.823529411764706,,
BG,4,BPL,1997,0.17,0.707224473775734,0.963794350235107,,
BG,4,BRMP,1997,0.06,0.0342518574476626,1,,
BG,4,BRSeP,1997,0.17,0.632197187421236,0.836520935150777,,
BG,4,BRSoP,1997,0.24,0.85053811763149,0.590018223433716,,
BG,4,BZF,1997,0.08,0.849673318764094,0.982714631580193,,
BG,4,BZNS-C,1997,0.24,0.918768309569591,0.959374719286647,,
BG,4,DAR,1997,0.24,0.735453032846777,0.957563258339371,,
BG,4,DL,1997,22.065,0.421227126433737,0.288358962972586,1160,80229
BG,4,DNS,1997,7.598,0.415535722297885,0.603180449141929,996,80951
BG,4,DPNS,1997,0.48,0.727784350640352,0.841195614226351,,
BG,4,DemLig,1997,0.1,0.745283741758536,0.998067420085211,,
BG,4,FNPSB,1997,0.03,0.74831632055966,0.736983971038393,,
BG,4,FP,1997,0.09,0.701688075946896,1,,
BG,4,HDS,1997,0.15,0.782516858534085,1,,
BG,4,KD,1997,0.28,0.671516002060159,0.952563032216988,,
BG,4,KEL,1997,5.498,0.563184993417806,0.474271675980159,710,80320
BG,4,LF,1997,0.32,0.888104458396356,0.958798735752997,,
BG,4,NB,1997,0.14,0.854792013525834,0.89439434206163,,
BG,4,ND,1997,0.09,0.841850568523556,0.946600610865529,,
BG,4,NPLF,1997,0.16,0.645022654453768,0.517225913502064,,
BG,4,ODS,1997,52.238,0.48353342816147,0.444359359199386,784,80411
BG,4,ON-DO,1997,0.02,1,1,,
BG,4,OZC,1997,1.1,0.505282626439787,0.621794187375602,1149,
BG,4,PNBZ,1997,0.38,1,0.780056291765545,,
BG,4,SDR,1997,0.16,0.73739601684408,0.884110027736978,,
BG,4,SKP,1997,0.13,0.894624043859546,0.640495897991782,,
BG,5,ASP,2001,0.09,1,1,,
BG,5,BBB,2001,0.0035,0,1,,
BG,5,BDPESS,2001,0.11,0.502298294992687,1,,
BG,5,BKP-R,2001,0.21,0.603631297827676,0.76358817284598,,
BG,5,BNF,2001,0.0044,1,1,,
BG,5,BNRP,2001,0.07,0.587493849867949,0.878653281397842,,
BG,5,BOP-NS,2001,0.01,0.818711938591551,0.978753413100483,,
BG,5,BRP,2001,0.28,0.731700261206959,0.866158319806582,,
BG,5,BRSDP,2001,0.24,0.708533634204218,0.888414064839144,,
BG,5,BZG,2001,0.38,0.609755087764831,0.850983886756038,,
BG,5,BZNS-NS,2001,0.1,0.524332485512138,0.905314713662503,,
BG,5,DP-SRB,2001,0.24,0.893739862175933,0.999983412847708,,
BG,5,DPS,2001,7.451,0.613309597173346,0.506916231096044,1286,80951
BG,5,DZPBSSG,2001,0.1,0.763197586334985,0.791358725291861,,
BG,5,KEL-BESDP,2001,0.98,0.430477551115868,0.610358845657083,,
BG,5,KNOCK,2001,0.6,0.922534053217661,0.961476729382143,,
BG,5,KS2,2001,3.44,0.966113603420107,0.966113178651161,15,
BG,5,KZB,2001,17.148,0.475837394170257,0.329024960382412,1160,80221
BG,5,NDNE,2001,0.05,1,0.622533571303297,,
BG,5,NDSV,2001,42.741,0.945529932964329,0.263392168325386,544,80902
BG,5,NOCS2,2001,1.7,0.695871360675704,0.926140903416429,1149,
BG,5,NPTCHSPT,2001,0.01,1,1,,
BG,5,NS,2001,0.48,0.690104609756938,0.827260264158543,,
BG,5,ODS,2001,18.18,0.370172110215828,0.364927690188016,784,80411
BG,5,ONN,2001,8.5e-4,1,1,,
BG,5,OPNT,2001,0.04,0.841270689646265,1,,
BG,5,OZBB,2001,0.03,0.837699262137368,0.848742826908036,,
BG,5,OZS,2001,0.34,0.818361722258531,0.926195875336998,,
BG,5,PRSI,2001,0.02,1,1,,
BG,5,PSK,2001,0.0017,1,0.172088355149573,,
BG,5,RODDNVP00,2001,0.13,0.984100138293899,1,,
BG,5,SB,2001,0.74,0.92573247658171,0.615022351865405,,
BG,5,SKP,2001,0.09,0.703984024811748,0.853827440690484,,
BG,5,SLDS,2001,0.06,0.847689486282101,0.989997791211354,,
BG,5,SPSVZZ,2001,0.11,0.960439054246938,0.712025808319015,,
BG,5,VRMO,2001,3.63,0.892563718856817,0.680281597288154,1362,
BG,6,ATAKA,2005,8.137,0.771855705209812,0.612033070157249,535,80710
BG,6,BHK,2005,0.58,0.998742432452473,0.999482938780905,,
BG,6,BNS,2005,5.191,0.61984192413991,0.738287673367135,1375,80813
BG,6,DNB,2005,0.28,0.896370262253265,0.868692413119752,,
BG,6,DPS,2005,12.812,0.553634227056363,0.494580995539236,1286,80951
BG,6,DSB,2005,6.436,0.534675216288953,0.688315217734566,57,80610
